name,type,description,store_id,version,created_on,created_by,updated_on,updated_by
brand,brand,汽车品牌,-1,1,"2015-05-18 23:01:17",-1000,"2015-05-18 23:01:17",-1000
car,car,车型信息,-1,1,"2015-05-18 23:01:19",-1000,"2015-05-18 23:01:19",-1000
age-group,base,年龄段,-1,1,"2015-05-26 13:53:00",-1000,"2015-05-26 13:53:00",-1000
intent-car,car,意向车型,-1,1,"2015-05-26 14:19:35",-1000,"2015-05-26 14:19:35",-1000
test-drive-car,car,试驾车型,-1,1,"2015-05-26 14:38:11",-1000,"2015-05-26 14:38:11",-1000
intent-color,base,意向颜色,-1,1,"2015-05-26 14:41:31",-1000,"2015-05-26 14:41:31",-1000
intent-level,base,购买意向,-1,1,"2015-05-26 14:55:46",-1000,"2015-05-26 14:55:46",-1000
channel,base,客户来源,-1,1,"2015-05-28 22:18:10",-1000,"2015-05-28 22:18:10",-1000
appt-type,base,预约类型,-1,1,"2015-06-03 19:43:42",-1000,"2015-06-03 19:43:42",-1000
last-instore,base,到店时间,-1,1,"2015-06-08 14:00:05",-1000,"2015-06-08 14:00:05",-1000
plate_type,base,牌照来源,-1,1,"2015-11-24 23:20:26",-1000,"2015-11-24 23:20:26",-1000
